student_id,last_name,first_name,sex,age,college,course,year_level,scholarship_type,gpa,monthly_income,scholarship_status
CSU-2021-1022,Campbell,Lisa,Female,25.0,College Of Computing And Information Sciences,BS Information Systems,2,CHED UniFAST,2.91,56098,Warning
CSU-2021-1023,Rhodes,Scott,Male,26.0,College Of Engineering And Geosciences,BS Mechanical Engineering,3,LGU Sponsored,1.04,52164,Active
CSU-2021-1024,Smith,Taylor,Female,20.0,College Of Computing And Information Sciences,BS Information Technology,1,CHED UniFAST,2.72,148553,Warning
CSU-2021-1025,Brewer,Jose,Male,24.0,College Of Arts And Sciences,BS Biology,1,None,2.17,7221,Active
CSU-2021-1026,Shelton,Eduardo,Male,24.0,College Of Arts And Sciences,BS Biology,2,CHED UniFAST,1.92,8135,Active
CSU-2021-1027,Romero,Donald,Male,25.0,College Of Arts And Sciences,BS Mathematics,2,None,1.03,30611,Active
CSU-2021-1028,Gamble,Amanda,Female,25.0,College Of Education,Bachelor of Elementary Education,4,CHED UniFAST,2.49,121901,Active
CSU-2021-1029,Cohen,Diana,Female,22.0,College Of Engineering And Geosciences,BS Civil Engineering,2,LGU Sponsored,2.65,62518,Warning
CSU-2021-1030,Jefferson,James,Male,20.0,College Of Computing And Information Sciences,BS Computer Science,1,None,3.24,71033,Revoked
CSU-2021-1031,Herrera,Henry,Male,21.0,"College Of Management, Economics, And Business",BS Business Administration,4,CHED UniFAST,2.0,13923,Active
CSU-2021-1032,Neal,Stephanie,Female,20.0,College Of Engineering And Geosciences,BS Mechanical Engineering,4,None,3.86,29101,Revoked
CSU-2021-1033,Gomez,Justin,Male,23.0,College Of Engineering And Geosciences,BS Civil Engineering,3,DOST SEI,2.56,61839,Warning
CSU-2021-1034,Moore,Victor,Male,17.0,College Of Education,Bachelor of Secondary Education,4,None,2.51,36451,Warning
CSU-2021-1035,Johnson,William,Male,22.0,College Of Computing And Information Sciences,BS Computer Science,4,CHED UniFAST,2.05,39054,Active
CSU-2021-1036,Cole,Emma,Female,20.0,College Of Engineering And Geosciences,BS Electrical Engineering,1,DOST SEI,2.69,53435,Warning
CSU-2021-1037,Baker,Daniel,Male,25.0,College Of Arts And Sciences,BS Biology,1,None,1.96,53303,Active
CSU-2021-1038,Pierce,Cassandra,Female,24.0,College Of Engineering And Geosciences,BS Civil Engineering,4,CHED UniFAST,4.06,82219,Revoked
CSU-2021-1039,Oconnor,Douglas,Male,23.0,College Of Education,Bachelor of Secondary Education,1,None,4.23,24848,Revoked
CSU-2021-1040,Benjamin,Rebecca,Female,23.0,"College Of Management, Economics, And Business",BS Accountancy,4,CHED UniFAST,2.09,77452,Active
CSU-2021-1041,Maynard,Darrell,Male,26.0,"College Of Management, Economics, And Business",BS Business Administration,1,None,3.59,89778,Revoked
CSU-2021-1042,Johnson,Amber,Female,25.0,College Of Computing And Information Sciences,BS Computer Science,2,CHED UniFAST,4.24,47458,Revoked
CSU-2021-1043,Christian,Harold,Male,18.0,College Of Arts And Sciences,BS Biology,1,None,1.75,77689,Active
CSU-2021-1044,Hill,Tommy,Male,26.0,College Of Engineering And Geosciences,BS Electrical Engineering,2,LGU Sponsored,1.27,105348,Active
CSU-2021-1045,Lee,Jeffery,Male,23.0,College Of Computing And Information Sciences,BS Information Systems,3,None,1.55,92203,Active
CSU-2021-1046,Waters,Debra,Female,20.0,College Of Engineering And Geosciences,BS Mechanical Engineering,3,DOST SEI,1.44,72695,Active
CSU-2021-1047,Stewart,Judith,Female,18.0,"College Of Management, Economics, And Business",BS Accountancy,1,LGU Sponsored,2.82,51643,Warning
CSU-2021-1048,Gregory,Rodney,Male,25.0,College Of Arts And Sciences,BS Biology,2,LGU Sponsored,2.81,23192,Warning
CSU-2021-1049,Perez,Jeffrey,Male,20.0,College Of Engineering And Geosciences,BS Electrical Engineering,3,CHED UniFAST,3.8,57604,Revoked
CSU-2021-1050,Mcdonald,Matthew,Male,25.0,College Of Education,Bachelor of Elementary Education,3,None,1.75,51777,Active
CSU-2021-1051,Anderson,Michelle,Female,18.0,College Of Computing And Information Sciences,BS Computer Science,1,None,1.08,33424,Active
CSU-2021-1052,Jackson,Teresa,Female,26.0,College Of Engineering And Geosciences,BS Electrical Engineering,2,None,1.2,146723,Active
CSU-2021-1053,Charles,Olivia,Female,25.0,College Of Engineering And Geosciences,BS Mechanical Engineering,4,CHED UniFAST,3.14,62248,Revoked
CSU-2021-1054,Vasquez,Amy,Female,21.0,College Of Computing And Information Sciences,BS Computer Science,1,CHED UniFAST,4.89,120757,Revoked
CSU-2021-1055,Rivera,Julia,Female,19.0,College Of Engineering And Geosciences,BS Mechanical Engineering,4,LGU Sponsored,2.08,32076,Active
CSU-2021-1056,Hale,Cody,Male,18.0,College Of Education,Bachelor of Secondary Education,2,LGU Sponsored,3.86,24115,Revoked
CSU-2021-1057,Gray,Christian,Male,23.0,"College Of Management, Economics, And Business",BS Economics,2,CHED UniFAST,1.03,70692,Active
CSU-2021-1058,Howard,Monica,Female,20.0,"College Of Management, Economics, And Business",BS Business Administration,2,None,1.36,9919,Active
CSU-2021-1059,Flowers,Kimberly,Female,26.0,"College Of Management, Economics, And Business",BS Economics,2,None,1.06,44021,Active
CSU-2021-1060,Hunter,Robert,Male,23.0,College Of Engineering And Geosciences,BS Civil Engineering,1,CHED UniFAST,1.87,14918,Active
CSU-2021-1061,Howard,Kyle,Male,21.0,"College Of Management, Economics, And Business",BS Accountancy,2,None,2.68,74844,Warning
CSU-2021-1062,Lee,Jason,Male,24.0,College Of Computing And Information Sciences,BS Information Technology,2,CHED UniFAST,4.14,91463,Revoked
CSU-2021-1063,Snow,April,Female,20.0,College Of Education,Bachelor of Elementary Education,2,CHED UniFAST,4.99,5970,Revoked
CSU-2021-1064,Kelly,Angela,Female,21.0,College Of Engineering And Geosciences,BS Electrical Engineering,1,None,3.79,130341,Revoked
CSU-2021-1065,Briggs,Sandra,Female,25.0,"College Of Management, Economics, And Business",BS Accountancy,3,None,2.32,110883,Active
CSU-2021-1066,Lee,Peter,Male,26.0,College Of Computing And Information Sciences,BS Information Technology,3,CHED UniFAST,4.37,146591,Revoked
CSU-2021-1067,Anderson,Jacqueline,Female,22.0,College Of Arts And Sciences,BS Mathematics,4,None,1.22,5867,Active
CSU-2021-1068,Haney,Erin,Female,26.0,College Of Arts And Sciences,BS Biology,2,CHED UniFAST,4.1,131370,Revoked
CSU-2021-1069,Bridges,Alexander,Male,22.0,College Of Education,Bachelor of Secondary Education,4,CHED UniFAST,3.17,145326,Revoked
CSU-2021-1070,Smith,Julie,Female,18.0,"College Of Management, Economics, And Business",BS Economics,3,LGU Sponsored,1.77,92409,Active
CSU-2021-1071,Allen,Danielle,Female,21.0,College Of Education,Bachelor of Elementary Education,2,CHED UniFAST,4.37,110018,Revoked
CSU-2021-1072,Chen,Alexandra,Female,23.0,College Of Education,Bachelor of Secondary Education,1,DOST SEI,2.53,28767,Warning
CSU-2021-1073,Moore,Alexis,Female,24.0,College Of Engineering And Geosciences,BS Electrical Engineering,4,DOST SEI,1.05,145149,Active
CSU-2021-1074,Allison,Debra,Female,19.0,College Of Engineering And Geosciences,BS Mechanical Engineering,1,CHED UniFAST,4.9,26091,Revoked
CSU-2021-1075,Thomas,Charles,Male,20.0,College Of Arts And Sciences,BS Mathematics,3,CHED UniFAST,2.0,81010,Active
CSU-2021-1076,Reed,Travis,Male,17.0,College Of Engineering And Geosciences,BS Civil Engineering,2,None,4.08,51299,Revoked
CSU-2021-1077,Frazier,Deborah,Female,23.0,College Of Arts And Sciences,BS Biology,2,None,1.99,105706,Active
CSU-2021-1078,Lopez,Julie,Female,20.0,College Of Education,Bachelor of Elementary Education,2,None,4.98,83347,Revoked
CSU-2021-1079,King,Taylor,Female,20.0,College Of Computing And Information Sciences,BS Computer Science,2,None,2.84,32988,Warning
CSU-2021-1080,Mahoney,Harry,Male,25.0,College Of Arts And Sciences,BS Mathematics,2,None,4.08,132533,Revoked
CSU-2021-1081,Davenport,Todd,Male,24.0,College Of Computing And Information Sciences,BS Information Technology,3,None,3.66,119814,Revoked
CSU-2021-1082,Faulkner,Amy,Female,19.0,College Of Education,Bachelor of Elementary Education,4,LGU Sponsored,2.89,41685,Warning
CSU-2021-1083,Brown,Cathy,Female,25.0,College Of Engineering And Geosciences,BS Mechanical Engineering,4,None,3.73,55618,Revoked
CSU-2021-1084,Taylor,Michael,Male,21.0,"College Of Management, Economics, And Business",BS Accountancy,2,CHED UniFAST,4.74,67517,Revoked
CSU-2021-1085,Mcneil,Christopher,Male,19.0,"College Of Management, Economics, And Business",BS Economics,2,CHED UniFAST,3.52,106913,Revoked
CSU-2021-1086,Caldwell,Kevin,Male,22.0,College Of Engineering And Geosciences,BS Mechanical Engineering,4,DOST SEI,3.98,146702,Revoked
CSU-2021-1087,Smith,Sarah,Female,17.0,College Of Arts And Sciences,BS Mathematics,2,None,3.08,135989,Revoked
CSU-2021-1088,Murphy,Connie,Female,24.0,College Of Education,Bachelor of Secondary Education,1,None,2.92,9303,Warning
CSU-2021-1089,Norris,Jamie,Female,25.0,"College Of Management, Economics, And Business",BS Accountancy,2,LGU Sponsored,2.2,93941,Active
CSU-2021-1090,Edwards,Amber,Female,17.0,"College Of Management, Economics, And Business",BS Accountancy,4,DOST SEI,2.44,93530,Active
CSU-2021-1091,Roberson,Megan,Female,19.0,College Of Education,Bachelor of Secondary Education,1,None,1.21,111301,Active
CSU-2021-1092,Hunt,Rodney,Male,18.0,College Of Arts And Sciences,BA Communication,4,CHED UniFAST,3.67,60490,Revoked
CSU-2021-1093,Stone,Matthew,Male,21.0,College Of Education,Bachelor of Secondary Education,4,DOST SEI,1.94,145656,Active
CSU-2021-1094,Hansen,Jennifer,Female,23.0,College Of Education,Bachelor of Elementary Education,3,None,2.74,66075,Warning
CSU-2021-1095,Smith,Tony,Male,24.0,College Of Education,Bachelor of Elementary Education,1,None,1.06,14667,Active
CSU-2021-1096,Ho,Joseph,Male,18.0,College Of Computing And Information Sciences,BS Information Technology,1,None,4.18,133160,Revoked
CSU-2021-1097,Mejia,Douglas,Male,26.0,College Of Engineering And Geosciences,BS Civil Engineering,2,CHED UniFAST,1.48,128527,Active
CSU-2021-1098,Jennings,David,Male,24.0,College Of Education,Bachelor of Secondary Education,3,None,4.16,68617,Revoked
CSU-2021-1099,Briggs,Brett,Male,19.0,College Of Engineering And Geosciences,BS Mechanical Engineering,3,CHED UniFAST,4.88,8765,Revoked
CSU-2021-1100,Davis,Tiffany,Female,23.0,College Of Computing And Information Sciences,BS Information Technology,2,CHED UniFAST,4.13,18096,Revoked
CSU-2021-1101,Williams,Brittany,Female,26.0,College Of Engineering And Geosciences,BS Civil Engineering,1,None,3.75,30504,Revoked
CSU-2021-1102,Hess,Jill,Female,25.0,College Of Arts And Sciences,BS Biology,4,None,2.49,49745,Active
CSU-2021-1103,Cruz,Kayla,Female,17.0,College Of Computing And Information Sciences,BS Information Systems,4,None,1.36,32874,Active
CSU-2021-1104,Peterson,Sharon,Female,24.0,College Of Computing And Information Sciences,BS Information Technology,2,DOST SEI,1.63,135323,Active
CSU-2021-1105,Thompson,Michelle,Female,26.0,College Of Arts And Sciences,BA Communication,4,LGU Sponsored,1.37,21543,Active
CSU-2021-1106,Mendez,Virginia,Female,20.0,College Of Arts And Sciences,BS Mathematics,1,CHED UniFAST,3.47,116728,Revoked
CSU-2021-1107,Riggs,Cynthia,Female,26.0,College Of Education,Bachelor of Secondary Education,4,DOST SEI,3.5,110384,Revoked
CSU-2021-1108,Green,Mark,Male,24.0,College Of Education,Bachelor of Elementary Education,2,DOST SEI,2.42,36667,Active
CSU-2021-1109,Knox,Valerie,Female,26.0,"College Of Management, Economics, And Business",BS Accountancy,3,LGU Sponsored,1.62,89302,Active
CSU-2021-1110,Walker,Jeffrey,Male,20.0,College Of Arts And Sciences,BS Biology,4,LGU Sponsored,3.15,16950,Revoked
CSU-2021-1111,Carey,Cynthia,Female,24.0,College Of Engineering And Geosciences,BS Mechanical Engineering,4,None,1.5,92950,Active
CSU-2021-1112,Barnes,Bryan,Male,23.0,College Of Computing And Information Sciences,BS Information Technology,2,DOST SEI,1.93,36652,Active
CSU-2021-1113,West,Tammy,Female,25.0,College Of Arts And Sciences,BS Mathematics,3,DOST SEI,4.93,42024,Revoked
CSU-2021-1114,Watson,Melissa,Female,24.0,College Of Arts And Sciences,BS Mathematics,3,DOST SEI,3.58,49053,Revoked
CSU-2021-1115,Gonzalez,Joseph,Male,22.0,College Of Engineering And Geosciences,BS Civil Engineering,1,None,4.22,48255,Revoked
CSU-2021-1116,Russo,Paul,Male,24.0,College Of Engineering And Geosciences,BS Civil Engineering,3,None,3.93,68869,Revoked
CSU-2021-1117,Small,Alisha,Female,18.0,College Of Arts And Sciences,BA Communication,2,CHED UniFAST,3.76,39962,Revoked
CSU-2021-1118,Goodman,Erin,Female,17.0,"College Of Management, Economics, And Business",BS Business Administration,2,CHED UniFAST,3.9,103600,Revoked
CSU-2021-1119,Conley,Dawn,Female,19.0,College Of Computing And Information Sciences,BS Information Systems,4,CHED UniFAST,4.59,9097,Revoked
CSU-2021-1120,Cox,Rachel,Female,24.0,College Of Computing And Information Sciences,BS Information Systems,4,DOST SEI,3.83,26160,Revoked
CSU-2021-1121,Douglas,Amber,Female,24.0,College Of Engineering And Geosciences,BS Civil Engineering,1,None,2.18,6893,Active
CSU-2021-1122,Johnson,Eugene,Male,26.0,College Of Education,Bachelor of Elementary Education,1,CHED UniFAST,3.79,28367,Revoked
CSU-2021-1123,Allen,Corey,Male,20.0,College Of Arts And Sciences,BS Mathematics,1,LGU Sponsored,3.27,114110,Revoked
CSU-2021-1124,Newman,Laura,Female,24.0,College Of Education,Bachelor of Secondary Education,4,CHED UniFAST,2.39,38264,Active
CSU-2021-1125,Johnson,Elizabeth,Female,26.0,College Of Arts And Sciences,BS Mathematics,1,None,3.93,42509,Revoked
CSU-2021-1126,Swanson,Robert,Male,21.0,College Of Computing And Information Sciences,BS Computer Science,1,CHED UniFAST,4.47,142124,Revoked
CSU-2021-1127,Martin,Manuel,Male,19.0,College Of Engineering And Geosciences,BS Mechanical Engineering,1,DOST SEI,4.66,113011,Revoked
CSU-2021-1128,Graham,Tammy,Female,17.0,College Of Arts And Sciences,BS Mathematics,2,CHED UniFAST,1.64,50756,Active
CSU-2021-1129,Newton,Melissa,Female,22.0,"College Of Management, Economics, And Business",BS Economics,2,None,3.12,52186,Revoked
CSU-2021-1130,Bowman,Ricky,Male,23.0,College Of Arts And Sciences,BA Communication,1,LGU Sponsored,2.18,28074,Active
CSU-2021-1131,Phillips,Parker,Male,18.0,College Of Engineering And Geosciences,BS Electrical Engineering,1,CHED UniFAST,2.05,96187,Active
CSU-2021-1132,Johnson,Mary,Female,24.0,"College Of Management, Economics, And Business",BS Economics,1,LGU Sponsored,2.47,6198,Active
CSU-2021-1133,Hawkins,Karen,Female,21.0,"College Of Management, Economics, And Business",BS Economics,4,DOST SEI,1.0,55306,Active
CSU-2021-1134,Hall,Sandra,Female,22.0,College Of Arts And Sciences,BS Biology,3,CHED UniFAST,3.55,143988,Revoked
CSU-2021-1135,Pham,Dwayne,Male,21.0,College Of Engineering And Geosciences,BS Mechanical Engineering,1,None,3.93,99870,Revoked
CSU-2021-1136,Fisher,Kathy,Female,21.0,College Of Engineering And Geosciences,BS Electrical Engineering,2,None,3.48,126691,Revoked
CSU-2021-1137,Smith,Robert,Male,24.0,College Of Education,Bachelor of Elementary Education,3,DOST SEI,4.1,77463,Revoked
CSU-2021-1138,Lynch,Michael,Male,19.0,"College Of Management, Economics, And Business",BS Economics,3,DOST SEI,2.28,55782,Active
CSU-2021-1139,Whitney,Teresa,Female,25.0,College Of Education,Bachelor of Elementary Education,1,LGU Sponsored,1.25,44116,Active
CSU-2021-1140,Martinez,Theresa,Female,18.0,"College Of Management, Economics, And Business",BS Accountancy,4,None,4.87,135420,Revoked
CSU-2021-1141,Johnson,Donna,Female,23.0,College Of Computing And Information Sciences,BS Information Systems,1,CHED UniFAST,2.55,46880,Warning
CSU-2021-1142,Carpenter,Susan,Female,24.0,"College Of Management, Economics, And Business",BS Economics,1,CHED UniFAST,3.1,19163,Revoked
CSU-2021-1143,Woods,Kelly,Female,24.0,College Of Arts And Sciences,BS Biology,4,CHED UniFAST,4.06,79727,Revoked
CSU-2021-1144,Flores,Todd,Male,21.0,College Of Arts And Sciences,BS Biology,1,LGU Sponsored,3.45,118946,Revoked
CSU-2021-1145,Gonzalez,Michael,Male,24.0,College Of Computing And Information Sciences,BS Computer Science,1,None,2.64,92633,Warning
CSU-2021-1146,Morales,Tiffany,Female,25.0,College Of Engineering And Geosciences,BS Electrical Engineering,3,DOST SEI,2.29,16355,Active
CSU-2021-1147,White,Seth,Male,24.0,College Of Education,Bachelor of Elementary Education,2,DOST SEI,1.39,18751,Active
CSU-2021-1148,Wilson,Jamie,Male,18.0,College Of Arts And Sciences,BA Communication,3,None,3.64,46430,Revoked
CSU-2021-1149,Ellis,Tiffany,Female,17.0,College Of Education,Bachelor of Elementary Education,3,None,4.34,132155,Revoked
CSU-2021-1150,Singh,Tiffany,Female,19.0,College Of Arts And Sciences,BA Communication,4,LGU Sponsored,1.71,23575,Active
CSU-2021-1151,Jimenez,Pamela,Female,24.0,"College Of Management, Economics, And Business",BS Accountancy,3,None,1.13,121607,Active
CSU-2021-1152,Dougherty,Bonnie,Female,20.0,College Of Engineering And Geosciences,BS Mechanical Engineering,4,CHED UniFAST,1.43,114855,Active
CSU-2021-1153,Hart,Colleen,Female,19.0,College Of Education,Bachelor of Elementary Education,4,None,1.77,90376,Active
CSU-2021-1154,Clark,Jessica,Female,18.0,College Of Engineering And Geosciences,BS Mechanical Engineering,4,CHED UniFAST,1.13,33870,Active
CSU-2021-1155,Mejia,Tyler,Male,23.0,College Of Education,Bachelor of Secondary Education,2,CHED UniFAST,3.57,64711,Revoked
CSU-2021-1156,Lee,Sarah,Female,18.0,"College Of Management, Economics, And Business",BS Accountancy,3,None,3.63,67159,Revoked
CSU-2021-1157,James,Carol,Female,24.0,College Of Arts And Sciences,BS Mathematics,1,None,3.5,57417,Revoked
CSU-2021-1158,Malone,Misty,Female,20.0,College Of Engineering And Geosciences,BS Mechanical Engineering,1,DOST SEI,2.02,62845,Active
CSU-2021-1159,Martin,Jacob,Male,24.0,College Of Computing And Information Sciences,BS Information Systems,2,None,2.47,128467,Active
CSU-2021-1160,Curry,Latoya,Female,17.0,College Of Computing And Information Sciences,BS Computer Science,3,DOST SEI,3.42,19244,Revoked
CSU-2021-1161,Warren,Samuel,Male,25.0,College Of Education,Bachelor of Secondary Education,4,LGU Sponsored,1.05,42995,Active
CSU-2021-1162,Lynch,Charles,Male,18.0,College Of Engineering And Geosciences,BS Civil Engineering,4,None,4.68,124273,Revoked
CSU-2021-1163,Wilson,Jacob,Male,20.0,College Of Engineering And Geosciences,BS Electrical Engineering,4,None,2.97,106536,Warning
CSU-2021-1164,Singleton,Matthew,Male,24.0,College Of Education,Bachelor of Elementary Education,3,None,4.56,40757,Revoked
CSU-2021-1165,Russell,Andrea,Female,22.0,College Of Engineering And Geosciences,BS Civil Engineering,3,None,2.87,55896,Warning
CSU-2021-1166,Diaz,Andrea,Female,21.0,College Of Education,Bachelor of Elementary Education,2,None,3.56,75698,Revoked
CSU-2021-1167,Morrison,Brandon,Male,23.0,College Of Education,Bachelor of Secondary Education,3,LGU Sponsored,3.23,93051,Revoked
CSU-2021-1168,Molina,Valerie,Female,21.0,"College Of Management, Economics, And Business",BS Business Administration,1,LGU Sponsored,4.29,13413,Revoked
CSU-2021-1169,Rogers,Diana,Female,21.0,College Of Computing And Information Sciences,BS Information Systems,2,None,3.83,78558,Revoked
CSU-2021-1170,Schneider,Jacob,Male,26.0,"College Of Management, Economics, And Business",BS Business Administration,3,None,3.47,34126,Revoked
CSU-2021-1171,Larson,Brian,Male,17.0,College Of Engineering And Geosciences,BS Mechanical Engineering,3,None,1.16,125213,Active
CSU-2021-1172,Curry,Maria,Female,19.0,College Of Computing And Information Sciences,BS Information Systems,1,None,1.28,49879,Active
CSU-2021-1173,Lewis,Kaitlyn,Female,19.0,"College Of Management, Economics, And Business",BS Economics,2,CHED UniFAST,2.22,62633,Active
CSU-2021-1174,Carter,Lisa,Female,22.0,College Of Arts And Sciences,BS Mathematics,3,None,4.78,46101,Revoked
CSU-2021-1175,Winters,Katrina,Female,18.0,College Of Education,Bachelor of Elementary Education,4,None,1.39,149901,Active
CSU-2021-1176,Peterson,Ashley,Female,25.0,College Of Engineering And Geosciences,BS Civil Engineering,3,CHED UniFAST,3.9,27668,Revoked
CSU-2021-1177,Harvey,Erin,Female,25.0,College Of Education,Bachelor of Secondary Education,1,LGU Sponsored,2.54,141778,Warning
CSU-2021-1178,George,Patricia,Female,22.0,"College Of Management, Economics, And Business",BS Economics,1,None,1.77,61739,Active
CSU-2021-1179,Miller,Amanda,Female,26.0,College Of Education,Bachelor of Secondary Education,2,None,3.63,126310,Revoked
CSU-2021-1180,James,Sheila,Female,18.0,College Of Education,Bachelor of Elementary Education,2,CHED UniFAST,3.5,8802,Revoked
CSU-2021-1181,Lyons,Jennifer,Female,18.0,College Of Computing And Information Sciences,BS Information Technology,1,CHED UniFAST,3.23,69658,Revoked
CSU-2021-1182,Baker,Melissa,Female,24.0,College Of Arts And Sciences,BS Biology,3,None,2.66,90798,Warning
CSU-2021-1183,Moody,Juan,Male,23.0,College Of Arts And Sciences,BS Mathematics,1,None,1.42,63302,Active
CSU-2021-1184,Burgess,Vanessa,Female,17.0,College Of Arts And Sciences,BS Mathematics,3,CHED UniFAST,3.55,6331,Revoked
CSU-2021-1185,Branch,Martha,Female,18.0,College Of Education,Bachelor of Secondary Education,3,LGU Sponsored,3.7,16593,Revoked
CSU-2021-1186,Watson,Valerie,Female,21.0,"College Of Management, Economics, And Business",BS Business Administration,2,None,3.66,128378,Revoked
CSU-2021-1187,Fitzgerald,Stephen,Male,26.0,College Of Education,Bachelor of Secondary Education,1,CHED UniFAST,1.67,116594,Active
CSU-2021-1188,Howard,Michael,Male,26.0,"College Of Management, Economics, And Business",BS Business Administration,2,CHED UniFAST,1.72,130637,Active
CSU-2021-1189,Whitaker,Alexander,Male,20.0,College Of Arts And Sciences,BS Biology,3,None,2.61,123604,Warning
CSU-2021-1190,Gibson,Sharon,Female,19.0,College Of Arts And Sciences,BS Biology,2,LGU Sponsored,2.35,68048,Active
CSU-2021-1191,Ruiz,Kenneth,Male,19.0,College Of Engineering And Geosciences,BS Civil Engineering,1,DOST SEI,1.63,8256,Active
CSU-2021-1192,Wilson,Abigail,Female,17.0,College Of Engineering And Geosciences,BS Mechanical Engineering,2,CHED UniFAST,4.99,62149,Revoked
CSU-2021-1193,Roman,Renee,Female,25.0,College Of Engineering And Geosciences,BS Mechanical Engineering,1,None,4.73,98953,Revoked
CSU-2021-1194,Boyle,Robin,Female,25.0,College Of Education,Bachelor of Elementary Education,1,LGU Sponsored,3.2,67668,Revoked
CSU-2021-1195,Morse,Joshua,Male,25.0,College Of Engineering And Geosciences,BS Mechanical Engineering,3,LGU Sponsored,4.38,9175,Revoked
CSU-2021-1196,Meyers,Natalie,Female,23.0,College Of Computing And Information Sciences,BS Computer Science,4,None,4.06,84911,Revoked
CSU-2021-1197,Lester,Frank,Male,18.0,College Of Education,Bachelor of Elementary Education,3,None,4.3,125398,Revoked
CSU-2021-1198,Blanchard,Amy,Female,26.0,College Of Computing And Information Sciences,BS Computer Science,3,DOST SEI,3.43,124233,Revoked
CSU-2021-1199,Hess,Marie,Female,24.0,College Of Arts And Sciences,BA Communication,4,CHED UniFAST,3.18,41339,Revoked
CSU-2022-1200,Thompson,Larry,Male,23.0,College Of Computing And Information Sciences,BS Information Systems,4,None,4.06,53482,Revoked
CSU-2022-1201,Brown,Kendra,Female,23.0,College Of Education,Bachelor of Elementary Education,4,None,2.02,126712,Active
CSU-2022-1202,Sutton,Suzanne,Female,21.0,"College Of Management, Economics, And Business",BS Accountancy,3,None,4.85,23533,Revoked
CSU-2022-1203,Flores,Scott,Male,18.0,College Of Education,Bachelor of Secondary Education,1,DOST SEI,4.84,92269,Revoked
CSU-2022-1204,Zuniga,Charles,Male,26.0,"College Of Management, Economics, And Business",BS Business Administration,3,None,3.91,82749,Revoked
CSU-2022-1205,Morales,Sandra,Female,17.0,College Of Education,Bachelor of Elementary Education,3,None,3.38,75723,Revoked
CSU-2022-1206,Martinez,Isaiah,Male,19.0,"College Of Management, Economics, And Business",BS Business Administration,4,CHED UniFAST,1.54,26222,Active
CSU-2022-1207,Stone,Kristina,Female,18.0,College Of Computing And Information Sciences,BS Information Technology,3,LGU Sponsored,4.56,19368,Revoked
